time,l2_error,relative_error
0,0.054038072,0.482691753
0,0.099054918,0.884801955
0,0.130019098,1.161387589
0,0.147297802,1.315728545
0,0.154928762,1.383891629
5,0.154953861,1.384115822
10,0.15497916,1.384341801
15,0.155004662,1.384569595
20,0.15503037,1.384799232
25,0.155056288,1.385030744
30,0.155082419,1.385264159
35,0.155108767,1.385499509
40,0.155135335,1.385736825
45,0.155162126,1.385976139
50,0.155189145,1.386217484
55,0.155216395,1.386460891
60,0.15524388,1.386706395
65,0.155271603,1.386954029
70,0.155299568,1.387203828
75,0.155327779,1.387455824
80,0.155356241,1.387710055
85,0.155384956,1.387966554
90,0.15541393,1.388225356
95,0.155443165,1.388486499
100,0.155472666,1.388750016
105,0.155502437,1.389015944
110,0.155532482,1.38928432
115,0.155562805,1.389555178
120,0.15559341,1.389828554
125,0.155624301,1.390104485
130,0.155655482,1.390383005
135,0.155686956,1.390664149
140,0.155718728,1.390947951
145,0.155750802,1.391234447
150,0.155783181,1.391523668
155,0.155815868,1.391815649
160,0.155848868,1.39211042
165,0.155882184,1.392408012
170,0.15591582,1.392708456
175,0.155949777,1.39301178
180,0.15598406,1.393318012
185,0.156018672,1.393627177
190,0.156053614,1.393939301
195,0.156088891,1.394254406
200,0.156124504,1.394572513
205,0.156160455,1.394893643
210,0.156196746,1.395217813
215,0.156233379,1.395545038
220,0.156270356,1.395875332
225,0.156307678,1.396208706
230,0.156345345,1.396545168
235,0.156383359,1.396884726
240,0.15642172,1.397227383
245,0.156460428,1.397573141
250,0.156499483,1.397921997
255,0.156538885,1.398273949
260,0.156578632,1.398628988
265,0.156618724,1.398987106
270,0.156659159,1.399348289
275,0.156699935,1.399712521
280,0.156741051,1.400079785
285,0.156782503,1.400450057
290,0.15682429,1.400823313
295,0.156866408,1.401199526
300,0.156908853,1.401578663
305,0.156951621,1.401960691
310,0.156994709,1.402345572
315,0.157038112,1.402733266
320,0.157081825,1.403123728
325,0.157125843,1.403516913
330,0.157170159,1.40391277
335,0.15721477,1.404311247
340,0.157259667,1.404712288
345,0.157304844,1.405115833
350,0.157350295,1.405521823
355,0.157396013,1.405930191
360,0.157441989,1.40634087
365,0.157488216,1.406753792
370,0.157534686,1.407168883
375,0.157581391,1.407586068
380,0.157628321,1.408005269
385,0.157675468,1.408426406
390,0.157722822,1.408849398
395,0.157770375,1.409274159
400,0.157818116,1.409700603
405,0.157866036,1.410128642
410,0.157914123,1.410558183
415,0.157962369,1.410989136
420,0.158010762,1.411421405
425,0.158059292,1.411854894
430,0.158107948,1.412289507
435,0.158156718,1.412725144
440,0.158205592,1.413161706
445,0.158254558,1.41359909
450,0.158303604,1.414037194
455,0.158352719,1.414475914
460,0.158401892,1.414915144
465,0.158451093,1.415354631
470,0.158499626,1.415788146
475,0.158534217,1.416096567
480,0.158447687,1.415282886
485,0.158018231,1.410372184
490,0.15796318,1.399986751
495,0.159735935,1.387210878
500,0.160701112,1.382412113
505,0.159185444,1.395081674
510,0.158091547,1.407159989
515,0.157877833,1.409897932
520,0.157892856,1.410359897
525,0.157933788,1.410733761
530,0.157974659,1.411098911
535,0.15801519,1.41146095
540,0.15805541,1.411820216
545,0.158095307,1.412176594
550,0.15813487,1.412529986
555,0.158174088,1.412880297
560,0.15821295,1.413227432
565,0.158251446,1.413571299
570,0.158289567,1.413911807
575,0.158327301,1.414248866
580,0.158364639,1.414582388
585,0.158401572,1.414912286
