time,l2_error,relative_error
0,0.052386115,0.467935742
0,0.093611952,0.836182998
0,0.121307702,1.083573578
0,0.137165719,1.225224339
0,0.144754931,1.293014503
5,0.143125645,1.278461006
10,0.141584475,1.264694603
15,0.140121592,1.251627487
20,0.138729044,1.239188643
25,0.137400308,1.227319785
30,0.136129951,1.215972407
35,0.134913395,1.205105597
40,0.133746728,1.194684413
45,0.132626568,1.184678655
50,0.131549962,1.175061934
55,0.1305143,1.165810949
60,0.129517258,1.156904935
65,0.128556747,1.14832523
70,0.127630874,1.140054926
75,0.126737913,1.132078606
80,0.12587628,1.124382122
85,0.125044514,1.116952418
90,0.124241259,1.109777393
95,0.123465254,1.10284578
100,0.122715321,1.09614705
105,0.121990355,1.089671335
110,0.121289317,1.083409355
115,0.120611228,1.077352368
120,0.119955164,1.071492114
125,0.119320249,1.065820779
130,0.118705655,1.060330957
135,0.118110595,1.055015616
140,0.11753432,1.049868074
145,0.116976118,1.044881973
150,0.116435312,1.040051257
155,0.115911255,1.03537015
160,0.11540333,1.030833143
165,0.114910949,1.026434974
170,0.114433548,1.022170617
175,0.113970589,1.018035264
180,0.113521557,1.014024317
185,0.11308596,1.010133374
190,0.112663326,1.006358222
195,0.112253203,1.002694821
200,0.111855157,0.999139302
205,0.111468773,0.995687954
210,0.111093653,0.992337216
215,0.110729414,0.989083675
220,0.11037569,0.985924052
225,0.110032127,0.982855199
230,0.109698388,0.979874093
235,0.109374147,0.97697783
240,0.109059092,0.974163619
245,0.108752922,0.971428777
250,0.108455349,0.968770725
255,0.108166095,0.96618698
260,0.107884892,0.963675157
265,0.107611485,0.961232959
270,0.107345624,0.958858174
275,0.107087072,0.956548674
280,0.106835599,0.95430241
285,0.106590985,0.952117409
290,0.106353016,0.949991767
295,0.106121488,0.947923654
300,0.105896202,0.945911303
305,0.105676968,0.94395301
310,0.105463603,0.942047135
315,0.105255928,0.940192095
320,0.105053773,0.938386361
325,0.104856974,0.936628462
330,0.10466537,0.934916973
335,0.104478809,0.933250524
340,0.104297141,0.93162779
345,0.104120224,0.93004749
350,0.10394792,0.92850839
355,0.103780094,0.927009297
360,0.103616618,0.925549056
365,0.103457366,0.924126554
370,0.10330222,0.922740715
375,0.103151061,0.921390498
380,0.103003777,0.920074895
385,0.10286026,0.918792935
390,0.102720403,0.917543676
395,0.102584106,0.916326208
400,0.102451269,0.915139649
405,0.102321797,0.913983149
410,0.102195597,0.912855881
415,0.102072581,0.911757047
420,0.101952662,0.910685875
425,0.101835756,0.909641616
430,0.101721781,0.908623545
435,0.10161066,0.90763096
440,0.101502315,0.906663181
445,0.101396674,0.905719548
450,0.101293665,0.904799424
455,0.101193218,0.903902189
460,0.101095266,0.903027238
465,0.10099972,0.902173777
470,0.100905951,0.901336187
475,0.100806425,0.900446827
480,0.100650968,0.899032323
485,0.100341012,0.895581299
490,0.100367795,0.889533773
495,0.101991861,0.885738201
500,0.102891867,0.885114988
505,0.10082333,0.88360328
510,0.099233067,0.883265446
515,0.098944795,0.883607652
520,0.098893581,0.883355619
525,0.098835896,0.882845503
530,0.098776007,0.882310597
535,0.098717419,0.881787268
540,0.098660388,0.881277843
545,0.098604886,0.880782075
550,0.098550875,0.88029962
555,0.098498316,0.879830145
560,0.098447175,0.879373324
565,0.098397414,0.878928841
570,0.098349,0.87849639
575,0.098301901,0.878075673
580,0.098256082,0.877666399
585,0.098211513,0.877268288
590,0.098168163,0.876881066
595,0.098126002,0.876504468
600,0.098085001,0.876138234
605,0.098045133,0.875782113
610,0.09800637,0.875435861
615,0.097968684,0.875099241
620,0.097932052,0.87477202
625,0.097896446,0.874453975
630,0.097861843,0.874144886
635,0.097828219,0.873844541
640,0.09779555,0.873552731
645,0.097763815,0.873269257
650,0.097732991,0.872993922
655,0.097703056,0.872726534
660,0.097673991,0.872466907
665,0.097645774,0.872214861
670,0.097618386,0.87197022
675,0.097591808,0.871732811
680,0.09756602,0.871502468
685,0.097541006,0.871279028
690,0.097516746,0.871062331
695,0.097493225,0.870852224
700,0.097470424,0.870648556
705,0.097448327,0.87045118
710,0.097426919,0.870259953
715,0.097406184,0.870074737
720,0.097386106,0.869895394
725,0.097366671,0.869721792
730,0.097347864,0.869553804
735,0.097329672,0.869391301
740,0.09731208,0.869234163
745,0.097295075,0.869082269
750,0.097278645,0.868935502
755,0.097262775,0.868793749
760,0.097247455,0.868656899
765,0.097232671,0.868524842
770,0.097218412,0.868397475
775,0.097204666,0.868274693
780,0.097191422,0.868156395
785,0.09717867,0.868042484
790,0.097166398,0.867932864
795,0.097154595,0.867827441
800,0.097143253,0.867726124
805,0.09713236,0.867628824
810,0.097121907,0.867535453
815,0.097111884,0.867445927
820,0.097102283,0.867360163
825,0.097093094,0.86727808
830,0.097084308,0.867199598
835,0.097075916,0.867124641
840,0.097067911,0.867053133
845,0.097060283,0.866985
850,0.097053025,0.86692017
855,0.097046129,0.866858573
860,0.097039588,0.86680014
865,0.097033393,0.866744804
870,0.097027537,0.866692499
875,0.097022014,0.866643161
880,0.097016815,0.866596727
885,0.097011935,0.866553137
890,0.097007367,0.86651233
895,0.097003103,0.866474247
900,0.096999139,0.866438832
905,0.096995466,0.866406029
910,0.09699208,0.866375782
915,0.096988974,0.866348038
920,0.096986142,0.866322745
925,0.09698358,0.866299852
930,0.09698128,0.866279309
935,0.096979237,0.866261066
940,0.096977447,0.866245076
