Timestamp,Module,Run Type,Equation,Operator,Initial Condition,Path,Metadata
2026-06-15 07:15:55,main,sweep,advection,upwind,advec_gauss,pipeline_results/sweeps/advection_rk4_upwind_advec_gauss_advec_peak_advec_square_sweep_20260615_124402/advection_rk4_upwind_advec_gauss_N5000_20260615_124402,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-15 07:17:44,main,sweep,advection,upwind,advec_square,pipeline_results/sweeps/advection_rk4_upwind_advec_gauss_advec_peak_advec_square_sweep_20260615_124402/advection_rk4_upwind_advec_square_N5000_20260615_124402,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-15 07:19:40,main,sweep,advection,upwind,advec_peak,pipeline_results/sweeps/advection_rk4_upwind_advec_gauss_advec_peak_advec_square_sweep_20260615_124402/advection_rk4_upwind_advec_peak_N5000_20260615_124402,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-15 07:20:21,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_125006_21a6,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 07:28:43,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_125820_7b33,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 07:46:20,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_131549_929a,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 07:55:16,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_132451_2a3c,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 08:02:05,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_133148_e5d3,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 08:18:34,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_134817_7c3b,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 08:20:46,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_135025_27e6,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 08:23:29,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_135308_bf7d,"{'epochs': 500, 'loaded_datasets': 3}"
2026-06-15 08:26:00,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_135535_d730,"{'epochs': 1000, 'loaded_datasets': 3}"
2026-06-15 08:27:21,ml,sweep,advection,cnn,mixed,ml/runs/sweeps/run_advection_rk4_upwind_advec_gauss_advec_peak_advec_square_20260615_135656_c1ab,"{'epochs': 1000, 'loaded_datasets': 3}"
