epoch,data_loss,physics_loss,epoch_time
0,5.614533193920579e-08,2.4985512236808448e-20,0.699718713760376
1,2.9758626624243334e-05,6.842822131147841e-08,0.008405685424804688
2,8.263539712061174e-06,1.7101337707048359e-12,0.005362987518310547
3,8.310999874083791e-06,1.3691810352156608e-08,0.005629301071166992
4,2.2304973867903755e-08,1.555738135032583e-17,0.008011817932128906
5,4.473459193832241e-05,2.592366854514694e-07,0.008953094482421875
6,8.28660631668754e-06,1.1766131180479533e-08,0.007625102996826172
7,3.78997610823717e-05,3.009259508246487e-12,0.0046558380126953125
8,8.26220912131248e-06,5.17425924329018e-09,0.004963874816894531
9,2.9522208933485672e-05,7.225234810448455e-08,0.00447845458984375
10,8.27075018605683e-06,1.3643090213122377e-08,0.005966901779174805
11,8.40704160509631e-06,1.3689867017774304e-08,0.007364749908447266
12,3.217816993128508e-05,7.247854227898642e-08,0.004364967346191406
13,7.087689102291961e-09,8.063747040416039e-18,0.005616664886474609
14,2.374639151980773e-08,6.418525333898082e-18,0.006589174270629883
15,8.16152987681562e-06,4.505713135927181e-09,0.005392789840698242
16,3.7068115489091724e-05,2.171089696911821e-12,0.004235029220581055
17,8.267757038993295e-06,1.196420566784706e-12,0.006754398345947266
18,1.9930942229962056e-08,1.9852733751294736e-20,0.004697561264038086
19,8.249173333751969e-06,1.7651938938323397e-12,0.004414796829223633
20,8.262924893642776e-06,1.1253975182312637e-12,0.0042536258697509766
21,3.217151970602572e-05,9.401639189388078e-12,0.00434422492980957
22,8.217097274609841e-06,4.937687411721292e-12,0.004172325134277344
23,3.5518300137482584e-05,1.1916354569763143e-09,0.004216909408569336
24,4.288934724172577e-05,1.5751632637117652e-11,0.004252433776855469
25,8.167361556843389e-06,1.4868453690475292e-12,0.00857686996459961
26,3.745924186659977e-05,3.940004572600131e-12,0.0044345855712890625
27,1.1196455318440712e-07,1.1590894182793443e-19,0.006185293197631836
28,8.261151378974319e-06,1.5795767471793454e-12,0.006907939910888672
29,8.27362782729324e-06,1.4294043379492472e-12,0.004671812057495117
30,2.209312910395056e-08,1.2018024401721684e-18,0.006439685821533203
31,2.7825620918520144e-08,2.8856334221664973e-18,0.004521846771240234
32,7.971393642947078e-06,6.229841531535385e-09,0.004518032073974609
33,8.04467526904773e-06,7.026779158536556e-09,0.007424831390380859
34,3.4846252674469724e-05,6.494105520005178e-08,0.0070383548736572266
35,8.233690095948987e-06,1.1906881730583407e-12,0.009351253509521484
36,3.151644341414794e-05,2.7131664970259095e-12,0.00727081298828125
37,2.7805997888208367e-05,6.198250246391979e-12,0.008188486099243164
38,8.240224815381225e-06,1.2156031389820576e-12,0.005876302719116211
39,4.481318782723065e-08,1.5481733615356324e-18,0.005806922912597656
40,3.4792348742485046e-05,3.0085576252503188e-09,0.0063533782958984375
41,1.4081887655947867e-08,1.726191728343782e-18,0.006173372268676758
42,8.267317753052339e-06,1.6008883454987632e-11,0.005785226821899414
43,6.739613667150479e-08,2.1211743999457624e-18,0.006307840347290039
44,2.11742463562814e-08,1.0080564747872417e-18,0.0039196014404296875
45,3.863673919113353e-05,2.8813271213401492e-11,0.004668235778808594
46,3.4450029488652945e-05,1.3494299427874168e-11,0.009599924087524414
47,8.221240022976417e-06,1.4034927733885816e-12,0.009677410125732422
48,1.8118356592822238e-07,3.580353312231981e-19,0.006638526916503906
49,3.58978177246172e-05,5.292499077880208e-12,0.009465932846069336
50,3.514659496772765e-08,1.1104417890817584e-18,0.005986690521240234
51,1.1758089613067568e-08,1.926066068091961e-18,0.007567405700683594
52,7.926534635771532e-06,8.460724565395594e-09,0.004561901092529297
53,4.073329762377398e-08,6.33399326555945e-18,0.004372596740722656
54,7.910161912150215e-06,9.378148924099605e-09,0.004823446273803711
55,7.872480637161061e-06,6.943632779865538e-09,0.0044553279876708984
56,8.056610568019096e-06,4.520525065387915e-10,0.0041179656982421875
57,3.851137444144115e-05,1.879017774708558e-11,0.004898548126220703
58,3.9784921682439744e-05,4.634421318927551e-12,0.004696369171142578
59,5.5548213140355074e-08,1.1828678623605233e-18,0.004012107849121094
60,3.098064917139709e-05,3.732188169625061e-12,0.004060268402099609
61,2.5336200693004685e-08,2.0393367690549457e-19,0.005260944366455078
62,2.9502245524781756e-05,6.243373873449087e-12,0.00632476806640625
63,8.184335456462577e-06,1.8855021710617592e-12,0.004426240921020508
64,9.318457117046819e-09,6.034958271737216e-19,0.0057985782623291016
65,2.673537892405875e-05,2.2012042188990222e-10,0.005334138870239258
66,1.590893816683092e-08,1.8045302818459228e-18,0.006013154983520508
67,7.78023968450725e-06,4.4707317847780814e-09,0.008327484130859375
68,7.750484655844048e-06,4.247279417057825e-09,0.005396366119384766
69,7.878037649788894e-06,1.3067853465997814e-09,0.0059757232666015625
70,3.933535481337458e-05,1.345312056200143e-10,0.007562398910522461
71,5.544026393522472e-08,1.9210430138222326e-18,0.004569053649902344
72,8.19687920738943e-06,5.844887941697241e-12,0.008924484252929688
73,8.186551895050798e-06,3.321215698293134e-12,0.008991241455078125
74,8.332829565915745e-06,2.8072674393420094e-12,0.0063402652740478516
75,3.08496382785961e-05,1.9473506140954555e-11,0.005561113357543945
76,6.739351476880984e-08,7.866823667503143e-19,0.004839658737182617
77,8.135277312248945e-06,1.7739393287641292e-11,0.0059545040130615234
78,3.24173342960421e-05,1.6468845731587578e-10,0.00776982307434082
79,3.895504050888121e-05,5.035311057000058e-10,0.008390665054321289
80,1.3800244857975486e-07,7.519179301586653e-18,0.007712602615356445
81,7.687580364290625e-06,7.05638569797884e-09,0.00794839859008789
82,3.0178458473528735e-05,6.408006214542183e-08,0.005264997482299805
83,3.244279866976285e-08,1.2072692768405313e-18,0.008358240127563477
84,8.122053259285167e-06,1.3156004063930027e-12,0.007405519485473633
85,3.526677392073907e-05,1.3693196576625155e-10,0.00824594497680664
86,7.761403139738832e-06,1.5092647132064485e-09,0.007500171661376953
87,1.8729323869592918e-07,8.725959714685166e-18,0.004587888717651367
88,3.7659490772057325e-05,2.8215105807305463e-09,0.006560087203979492
89,7.879550139477942e-06,2.1691901608278386e-09,0.006714344024658203
90,8.079698091023602e-06,2.854434917598514e-11,0.004298686981201172
91,3.225032560294494e-05,1.8343881968974074e-11,0.0041239261627197266
92,2.914977770274163e-08,5.551543065015687e-19,0.0040400028228759766
93,8.432336073838087e-08,2.3986550315588194e-18,0.004552125930786133
94,7.586927040392766e-06,5.6068811815634945e-09,0.0050814151763916016
95,3.0509881980833597e-05,6.424603071764068e-08,0.004685640335083008
96,7.812821422703564e-06,1.0605892830639618e-09,0.004384040832519531
97,8.137898475979455e-06,1.1736533619965961e-11,0.004750490188598633
98,3.2855754398042336e-05,5.1552997981652027e-11,0.0048580169677734375
99,3.797858516918495e-05,2.034479529289257e-10,0.0066792964935302734
100,2.431482425890863e-05,8.224027014946955e-11,0.012384176254272461
101,5.504779210241395e-07,2.5939585780371834e-18,0.0075757503509521484
102,7.081465014380228e-08,3.5097733509840697e-19,0.007922172546386719
103,9.024079918162897e-05,5.3238902869567895e-11,0.007979154586791992
104,2.435982969473116e-05,7.961021425417769e-11,0.014690160751342773
105,1.22752410902649e-07,6.250748455690074e-17,0.007723569869995117
106,1.4201276599123958e-07,1.1541493591763765e-16,0.013755321502685547
107,2.4163331545423716e-05,9.597128780569619e-08,0.00864267349243164
108,2.4279794160975143e-05,6.876802416400096e-08,0.014342069625854492
109,4.838918812311022e-07,3.425416748332876e-18,0.008379459381103516
110,3.323347357309103e-07,4.683568427552412e-17,0.014055252075195312
111,3.4613691468621255e-07,1.7978953255319308e-16,0.007616519927978516
112,2.0677515522038448e-07,2.7571097133672847e-16,0.007469654083251953
113,3.212544896769032e-08,1.744408106588578e-16,0.0075795650482177734
114,9.959113958757371e-05,2.4327609935426153e-06,0.006930828094482422
115,8.664908818900585e-05,2.0234538169461302e-06,0.007342815399169922
116,0.00010454861330799758,4.622529274911358e-07,0.014547109603881836
117,2.379598117840942e-05,7.787117795032827e-08,0.011721611022949219
118,5.302153738284687e-08,2.351728744536441e-16,0.009080171585083008
119,7.154667969189177e-08,4.491993596208478e-16,0.010213375091552734
120,0.0001090870937332511,6.7255846261105035e-06,0.00890803337097168
121,2.9262970201671124e-05,8.773047284194035e-07,0.010089397430419922
122,0.00010377091530244797,4.980080575478496e-06,0.011376619338989258
123,0.00011484050628496334,3.4267322917003185e-06,0.00940847396850586
124,2.4647772079333663e-05,1.7132033747202513e-07,0.011021137237548828
125,6.689784726177095e-08,8.95594963258487e-19,0.012525796890258789
126,1.1516644349285343e-07,3.9969473077680704e-17,0.016897201538085938
127,0.00010625479626469314,6.729150072715129e-07,0.009872198104858398
128,5.204014996706974e-08,2.153352040102708e-16,0.01129770278930664
129,9.617615432944149e-05,2.427142590022413e-06,0.008821964263916016
130,2.6752357371151447e-05,4.540468125924235e-07,0.01129150390625
131,0.00010121255763806403,2.427127128612483e-06,0.01376962661743164
132,8.716285810805857e-05,2.248809323646128e-06,0.00839686393737793
133,2.4686483811819926e-05,1.6436634098226932e-07,0.01232290267944336
134,2.429286905680783e-05,6.575344002612837e-08,0.011683464050292969
135,2.293289071531035e-05,9.555812141570641e-09,0.00764155387878418
136,8.620991138741374e-05,1.6375446421079687e-07,0.012039899826049805
137,2.3992011847440153e-05,9.080341811795734e-08,0.01214742660522461
138,1.4342137433231983e-07,2.0372705421951403e-16,0.010185956954956055
139,2.5074576115002856e-05,2.3139735105814907e-07,0.012647628784179688
140,8.852386963553727e-05,2.1930586626695003e-06,0.013668060302734375
141,1.8593665629396128e-07,4.1436446792052467e-16,0.008933544158935547
142,0.00011542896390892565,2.1857849787920713e-06,0.01226186752319336
143,8.958292164606974e-05,1.2586725688379374e-06,0.01185464859008789
144,2.4097622372210026e-05,9.949394552677404e-08,0.008271217346191406
145,8.663951302878559e-05,5.27146880813234e-07,0.007350921630859375
146,9.519615559838712e-05,2.4731502956676366e-10,0.008248567581176758
147,0.00010033644502982497,4.428091529007361e-07,0.008438348770141602
148,2.397835487499833e-05,4.685922050384761e-08,0.010643959045410156
149,2.4019662305363454e-05,7.333650131613467e-08,0.008598089218139648
150,2.412688991171308e-05,8.416954955237088e-08,0.01106405258178711
151,9.977519221138209e-05,5.763654939983098e-07,0.008459806442260742
152,1.0026297303511456e-07,8.731957435870665e-17,0.010831594467163086
153,2.4232922442024574e-05,7.241142441216653e-08,0.012856483459472656
154,2.2773390639940772e-07,6.067336044107466e-17,0.008131265640258789
155,2.4271839720313437e-05,2.6454832990907562e-08,0.009123086929321289
156,3.41879342613538e-08,1.665448754036716e-17,0.008965492248535156
157,2.3379343474516645e-05,1.5962953625603404e-08,0.014149904251098633
158,4.144396115179916e-08,4.8676013900305575e-18,0.013173818588256836
159,2.3041528038447723e-05,4.337340264726208e-09,0.008982419967651367
160,0.0001036292378557846,9.04308711247026e-11,0.012928962707519531
161,8.28123593237251e-05,2.4738572301785666e-11,0.014230489730834961
162,2.4098986614262685e-05,2.4788976205059043e-08,0.010477304458618164
163,2.2207275662822212e-07,7.876346294791945e-17,0.007980585098266602
164,2.404286351520568e-05,6.14794544162578e-08,0.007715940475463867
165,9.011310612550005e-05,5.37005632850196e-07,0.008545875549316406
166,0.00010604638373479247,5.313712563292938e-07,0.011268854141235352
167,9.505118941888213e-05,3.644157475779508e-10,0.00799870491027832
168,4.309562768867181e-07,1.3330448807137866e-18,0.008599519729614258
169,8.959727711044252e-05,1.2582899999724617e-10,0.011734485626220703
170,2.2826094209449366e-05,3.5868823466955746e-09,0.00755763053894043
171,0.00011475057544885203,3.3694338430478865e-09,0.00854635238647461
172,5.7179235568582953e-08,4.997648244394307e-18,0.007920980453491211
