epoch,data_loss,physics_loss,epoch_time
0,8.941562867903485e-08,6.550329939916666e-13,0.808089017868042
1,3.133640348096378e-05,1.294774705229429e-07,0.006344318389892578
2,8.48187119117938e-06,6.912920014201518e-08,0.006672382354736328
3,8.437115866399836e-06,7.229854759316368e-08,0.007500410079956055
4,3.459673791894602e-08,1.3367948512466726e-13,0.005974292755126953
5,5.2713796321768314e-05,1.3947398258551402e-07,0.00916147232055664
6,8.103824256977532e-06,3.525239211654707e-09,0.007131814956665039
7,4.229605838190764e-05,1.1928190701837593e-07,0.006754636764526367
8,8.158192940754816e-06,2.0452786131386347e-08,0.00962209701538086
9,3.06863003061153e-05,8.131272011269175e-08,0.007405281066894531
10,7.910883141448721e-06,5.1630504316335646e-09,0.00915074348449707
11,8.151123438437935e-06,3.966279038536413e-08,0.0064923763275146484
12,3.4572778531583026e-05,5.470559472087189e-07,0.007236480712890625
13,8.30882296298796e-09,6.267078615638426e-15,0.007894515991210938
14,3.6328771102489554e-08,1.4802956495134356e-13,0.005139350891113281
15,7.80147729528835e-06,4.917022344841371e-09,0.009011268615722656
16,3.9563423342769966e-05,1.1912467101637958e-07,0.005918979644775391
17,7.803038897691295e-06,1.421516060418071e-08,0.007619380950927734
18,2.977010638005595e-08,9.118092836758046e-14,0.005626678466796875
19,7.674784683331382e-06,1.6937417024465162e-09,0.008411884307861328
20,7.644417564733885e-06,5.736327732264179e-11,0.004984140396118164
21,3.248324719606899e-05,6.364391680335757e-08,0.004010438919067383
22,7.581283171020914e-06,3.6143745774097624e-09,0.005689859390258789
23,3.6406137951416895e-05,7.213510855308414e-08,0.00848388671875
24,4.5816428610123694e-05,9.677155077270072e-08,0.009404420852661133
25,7.442848072969355e-06,8.816538610290081e-09,0.006942272186279297
26,3.952679981011897e-05,1.1359647089648206e-07,0.013499259948730469
27,1.3634971196552215e-07,2.024972854328122e-12,0.008947134017944336
28,7.407110388157889e-06,7.850487371285908e-09,0.010456085205078125
29,7.357951744779712e-06,1.2202504562353056e-09,0.012273788452148438
30,3.325988018332282e-08,1.7012374853037776e-13,0.008343935012817383
31,4.129287844989449e-08,1.5113752534646335e-13,0.01227569580078125
32,7.235445991682354e-06,1.1707522062920361e-08,0.01028585433959961
33,7.306613952096086e-06,1.755566536587594e-08,0.009696722030639648
34,3.6070858186576515e-05,2.50122184297652e-07,0.014493703842163086
35,7.136914973671082e-06,6.016960818477912e-10,0.02969217300415039
36,3.0871451599523425e-05,8.884853741619736e-08,0.014800310134887695
37,2.5576504413038492e-05,8.832145681481052e-08,0.014853239059448242
38,7.069240382406861e-06,8.565683717876027e-10,0.011926651000976562
39,7.024824810741848e-08,4.972425466168162e-13,0.015118122100830078
40,3.576273957150988e-05,8.399746320719714e-08,0.016411304473876953
41,1.8629014775228825e-08,3.9077736272569163e-14,0.016541004180908203
42,7.034028840280371e-06,5.3480704309549765e-09,0.017075538635253906
43,1.0517429416267987e-07,7.689762455270754e-13,0.0236666202545166
44,3.039475160449001e-08,1.0899129363785287e-13,0.01889324188232422
45,3.8649741327390075e-05,9.956789881471195e-08,0.015512228012084961
46,3.3222546335309744e-05,6.455821477402424e-08,0.014104127883911133
47,6.805782049923437e-06,6.905962024461587e-09,0.014286279678344727
48,2.349256078559847e-07,3.0861771471712984e-12,0.016999006271362305
49,3.603925506467931e-05,1.317670808020921e-07,0.01535487174987793
50,5.552376691753125e-08,3.3340317269134334e-13,0.012680292129516602
51,1.4503829248724287e-08,2.8301085162451417e-14,0.00574803352355957
52,6.6919360506290104e-06,4.211477389048923e-09,0.008273124694824219
53,6.278843756035712e-08,3.633051162427875e-13,0.004968881607055664
54,6.593254511244595e-06,2.3557882311564526e-09,0.009368658065795898
55,6.592848876607604e-06,3.7056138157964824e-09,0.006252288818359375
56,6.569625838892534e-06,7.131090384859817e-09,0.007535219192504883
57,3.6142446333542466e-05,1.0102765202191222e-07,0.00516510009765625
58,4.08139567298349e-05,1.0565946695351158e-07,0.006580352783203125
59,7.794440648467571e-08,7.853930721925251e-13,0.011485815048217773
60,2.7075115212937817e-05,1.0878107303824436e-07,0.008453130722045898
61,3.6203068987106235e-08,1.3143913041302469e-13,0.004488468170166016
62,2.5152632588287815e-05,1.019110271727186e-07,0.011136054992675781
63,6.310063326964155e-06,2.163923262799017e-09,0.009212970733642578
64,1.0397499750069983e-08,1.520135132679866e-14,0.009705066680908203
65,2.256005973322317e-05,1.957460256107879e-07,0.004428386688232422
66,2.1898928892483127e-08,7.999786407310652e-14,0.004528522491455078
67,6.253295396163594e-06,1.0425125651636336e-08,0.007225990295410156
68,6.173689598654164e-06,5.1611968032716504e-09,0.006929874420166016
69,6.143982318462804e-06,3.2196795229921804e-10,0.011132001876831055
70,3.8092977774795145e-05,8.846664911743574e-08,0.010333061218261719
71,8.262107797918361e-08,5.756862543095098e-13,0.007311344146728516
72,6.218809176061768e-06,2.5954779658832194e-08,0.010434389114379883
73,6.215922439878341e-06,3.394718106619621e-08,0.009628057479858398
74,6.231926818145439e-06,2.2181044556646157e-08,0.010493040084838867
75,2.631115603435319e-05,7.298407922462502e-08,0.006115913391113281
76,1.0075842737933272e-07,7.394575945486592e-13,0.010885000228881836
77,6.041985216143075e-06,2.4232244655308932e-08,0.016550302505493164
78,2.819405017362442e-05,5.743090696341824e-07,0.016063928604125977
79,3.7318932299967855e-05,2.9084873176543624e-07,0.009267091751098633
80,1.7704817878438917e-07,2.2537945901929257e-12,0.017711162567138672
81,6.046448561392026e-06,5.1568370906807104e-08,0.00880289077758789
82,2.5995695978053845e-05,7.0812967578604e-07,0.010132312774658203
83,4.7269509195757564e-08,1.811642605679606e-13,0.007185459136962891
84,5.781041636510054e-06,1.5512313211729634e-08,0.016286611557006836
85,3.0567320209229365e-05,7.011914959775822e-08,0.013786792755126953
86,5.6791427596181165e-06,1.3257684949863346e-09,0.01004648208618164
87,1.799228073195991e-07,4.161914302774905e-12,0.005476474761962891
88,3.423218004172668e-05,2.9139027901692316e-07,0.012645483016967773
89,5.767148650193121e-06,9.36157640296642e-09,0.009048938751220703
90,5.604500529443612e-06,1.72936165387938e-10,0.010693788528442383
91,2.6453710233909078e-05,5.223304810897389e-08,0.01011347770690918
92,3.9454178590858646e-08,1.3927343978613338e-13,0.010505199432373047
93,1.0514196446820279e-07,1.4879537489284611e-12,0.008681058883666992
94,5.732733370678034e-06,5.6783470370191935e-08,0.010722875595092773
95,2.4953005777206272e-05,6.016198312863708e-07,0.007361173629760742
96,5.5255950428545475e-06,1.0267401151509148e-08,0.01161646842956543
97,5.47239415027434e-06,4.411403686788162e-09,0.006410121917724609
98,2.6389889171696268e-05,4.286692956156912e-07,0.007566690444946289
99,3.332160849822685e-05,3.294499038020149e-07,0.008593320846557617
100,1.628129575692583e-05,1.880117572738982e-08,0.01436161994934082
101,3.5372337947592314e-07,5.514457813993179e-12,0.009645223617553711
102,6.089490511840268e-08,2.4375976497709173e-13,0.01321721076965332
103,6.953567935852334e-05,1.2759098808601266e-06,0.014023303985595703
104,1.5948582586133853e-05,1.1979977010412313e-09,0.0224764347076416
105,9.621297181183763e-08,6.872979290729886e-13,0.01587367057800293
106,1.259070927517314e-07,5.878369080565549e-13,0.01713395118713379
107,2.1748932340415195e-05,9.195066468237201e-07,0.011980533599853516
108,2.0406625480973162e-05,7.042568768156343e-07,0.022093534469604492
109,3.007461089055141e-07,4.828883820584551e-12,0.02214527130126953
110,1.7959024489755393e-07,4.165221119400986e-12,0.013569355010986328
111,2.310116826720332e-07,3.1005488974888973e-12,0.013808965682983398
112,1.5179298884504533e-07,1.3762828767263646e-12,0.015988826751708984
113,2.7758501275343406e-08,4.471030208390292e-14,0.01145029067993164
