time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.05,1.8989623841347943e-09,7.885499847757145e-10,7.1881033347764856e-09
0.1,3.797924776927342e-09,1.5770999744781115e-09,1.4376206558530669e-08
0.15,5.696887475236529e-09,2.3656500555397402e-09,2.1564310781485574e-08
0.2,7.595849867941205e-09,3.1542000452094225e-09,2.875241555955199e-08
0.25,9.494812459888736e-09,3.942750092641858e-09,3.594051933841769e-08
0.3,1.1393775051984576e-08,4.731300140568875e-09,4.3128623672394895e-08
0.35000000000000003,1.3292737443371496e-08,5.519850130243416e-09,5.031672756228289e-08
0.4,1.5191700143673667e-08,6.308400211424932e-09,5.7504832562393915e-08
0.45,1.709066253664555e-08,7.096950201428075e-09,6.469293822863875e-08
0.5,1.898962512771886e-08,7.885500248784252e-09,7.188104267363826e-08
0.55,2.0888587720203693e-08,8.674050296888165e-09,7.906914734068238e-08
0.6,2.2787550111672725e-08,9.46260028620503e-09,8.62572521187488e-08
0.65,2.4686512810680667e-08,1.0251150367387046e-08,9.34453563417037e-08
0.7000000000000001,2.6585475203895106e-08,1.1039700357408133e-08,1.0063346267408235e-07
0.75,2.84844377931118e-08,1.1828250404209207e-08,1.0782156778521568e-07
0.8,3.038340038531913e-08,1.2616800452196202e-08,1.1500967389554972e-07
0.85,3.2282362778356985e-08,1.3405350441755263e-08,1.2219777800748233e-07
0.9,3.418132547715601e-08,1.4193900522979858e-08,1.293858850059948e-07
0.9500000000000001,3.608028787005985e-08,1.4982450513000835e-08,1.3657399000610582e-07
1.0,3.7979250461309865e-08,1.5771000560565458e-08,1.4376209600541756e-07
1.05,3.9878213048338165e-08,1.6559550606682034e-08,1.5095020278188542e-07
1.1,4.177717544193264e-08,1.7348100596705677e-08,1.5813830789301875e-07
1.1500000000000001,4.367613814006078e-08,1.813665067755384e-08,1.65326414447442e-07
1.2,4.5575100532493895e-08,1.8925200667294845e-08,1.7251452111288756e-07
1.25,4.7474063124654566e-08,1.9713750714860828e-08,1.7970262788935543e-07
1.3,4.9373025716414166e-08,2.0502300762080288e-08,1.8689073444377868e-07
1.35,5.1271988109149136e-08,2.12908507518967e-08,1.940788397769566e-07
1.4000000000000001,5.317095081032142e-08,2.2079400834036888e-08,2.012669479967144e-07
1.45,5.5069913203480076e-08,2.2867950824098687e-08,2.0845505355193694e-07
1.5,5.69688757965818e-08,2.3656500872052233e-08,2.1564316132760553e-07
1.55,5.8867838387495964e-08,2.4445050918933403e-08,2.228312684371403e-07
1.6,6.076680078126504e-08,2.523360090933241e-08,2.3001937476951895e-07
1.6500000000000001,6.2665763479449e-08,2.602215099059448e-08,2.372074809908753e-07
1.7,6.456472587020367e-08,2.6810700980074306e-08,2.443955897657446e-07
1.75,6.646368846033521e-08,2.759925102704437e-08,2.515836980965247e-07
1.8,6.836265105006906e-08,2.838780107414508e-08,2.587718063162825e-07
1.85,7.026161344309348e-08,2.9176351063811967e-08,2.659599117604827e-07
1.9000000000000001,7.216057614144245e-08,2.996490114485141e-08,2.7314802120148585e-07
1.95,7.40595385337064e-08,3.07534511345866e-08,2.8033612931022134e-07
2.0,7.595850112417847e-08,3.154200118186714e-08,2.8752423730793453e-07
2.05,7.785746371535787e-08,3.23305512290934e-08,2.947123449725808e-07
2.1,7.975642610737609e-08,3.311910121900207e-08,3.0190045186007097e-07
2.15,8.165538880594031e-08,3.390765130006918e-08,3.090885610790295e-07
2.2,8.355435119750749e-08,3.4696201289305264e-08,3.162766701869657e-07
2.25,8.545331379114035e-08,3.548475133737514e-08,3.234647790728573e-07
2.3000000000000003,8.735227638233129e-08,3.627330138500245e-08,3.3065288929101655e-07
2.35,8.925123877414513e-08,3.7061851374429e-08,3.378409952903283e-07
2.4,9.115020147223034e-08,3.785040145565872e-08,3.45029108617112e-07
2.45,9.304916386418114e-08,3.863895144520768e-08,3.5221721506051296e-07
2.5,9.494812645713737e-08,3.9427501493121675e-08,3.5940532416844917e-07
2.5500000000000003,9.684708904979284e-08,4.0216051541297074e-08,3.66593434608653e-07
2.6,9.874605144217888e-08,4.100460153080202e-08,3.7378154049694245e-07
2.65,1.0064501413945002e-07,4.179315161150224e-08,3.8096965238043623e-07
2.7,1.0254397653327134e-07,4.258170160143243e-08,3.8815776282064007e-07
2.75,1.0444293912417876e-07,4.337025164850408e-08,3.953458722616432e-07
2.8000000000000003,1.0634190171607413e-07,4.415880169629044e-08,4.0253398281286934e-07
2.85,1.0824086410876227e-07,4.494735168611725e-08,4.097220894783149e-07
2.9,1.1013982680859773e-07,4.573590176742693e-08,4.169102022499871e-07
2.95,1.1203878920104803e-07,4.652445175732564e-08,4.2409831324530245e-07
3.0,1.1393775179152217e-07,4.731300180428882e-08,4.312864232414171e-07
3.0500000000000003,1.1583671438228633e-07,4.810155185175657e-08,4.384745331265094e-07
3.1,1.1773567677540951e-07,4.889010184158651e-08,4.4566264290057944e-07
3.15,1.196346394755531e-07,4.9678651922912424e-08,4.528507544510063e-07
3.2,1.2153360186733208e-07,5.04672019121532e-08,4.600388632258756e-07
3.25,1.2343256446101983e-07,5.125575196049225e-08,4.672269763306147e-07
3.3000000000000003,1.2533152705326273e-07,5.204430200802731e-08,4.7441508588264014e-07
3.35,1.272304894475027e-07,5.283285199898304e-08,4.816031972110224e-07
3.4,1.2912945214773924e-07,5.3621402080776155e-08,4.887913078732709e-07
3.45,1.3102841453992333e-07,5.44099520702547e-08,4.959794212000546e-07
3.5,1.3292737712874565e-07,5.519850211730838e-08,5.031675308631023e-07
3.5500000000000003,1.3482633972020406e-07,5.5987052164833313e-08,5.103556436347745e-07
3.6,1.3672530211330022e-07,5.6775602154978466e-08,5.1754375174351e-07
3.65,1.3862426481298184e-07,5.7564152237060534e-08,5.24731866291539e-07
3.7,1.4052322720499335e-07,5.8352702226571934e-08,5.319199753994752e-07
3.75,1.4242218979666575e-07,5.914125227398431e-08,5.391080890593258e-07
3.8000000000000003,1.443211523876297e-07,5.992980232212145e-08,5.462962027191764e-07
3.85,1.4622011478292887e-07,6.071835231266204e-08,5.534843128263134e-07
3.9,1.4811907748019647e-07,6.150690239340653e-08,5.606724267082086e-07
3.95,1.5001803986988417e-07,6.229545238252363e-08,5.678605387027247e-07
4.0,1.5191700246293276e-07,6.30840024304298e-08,5.7504864969804e-07
4.05,1.5381596505447987e-07,6.387255247773255e-08,5.822367633578907e-07
4.1,1.5571492744601742e-07,6.46611024672861e-08,5.894248733540053e-07
4.15,1.5761389014298657e-07,6.544965254816227e-08,5.966129872359005e-07
4.2,1.5951285253422042e-07,6.623820253733694e-08,6.038011024500634e-07
4.25,1.6141181512532388e-07,6.702675258417686e-08,6.109892175532039e-07
4.3,1.6331077771540653e-07,6.781530263129609e-08,6.181773297697646e-07
4.3500000000000005,1.6520974010760936e-07,6.860385262090996e-08,6.253654410981468e-07
4.4,1.6710870280726252e-07,6.939240270243221e-08,6.325535569784435e-07
4.45,1.6900766519881544e-07,7.018095269187652e-08,6.397416694170488e-07
4.5,1.7090662778986347e-07,7.096950273945471e-08,6.469297825217879e-07
4.55,1.7280559037856503e-07,7.175805278622665e-08,6.5411789818004e-07
4.6000000000000005,1.7470455277277655e-07,7.254660277621074e-08,6.613060099525114e-07
4.65,1.766035154714914e-07,7.333515285800215e-08,6.684941246115628e-07
4.7,1.7850247786300074e-07,7.412370284764805e-08,6.756822370501681e-07
4.75,1.8040144045547162e-07,7.491225289566089e-08,6.828703528194424e-07
4.8,1.8230040304809246e-07,7.570080294356432e-08,6.900584681446276e-07
4.8500000000000005,1.841993654399718e-07,7.648935293362747e-08,6.972465818044782e-07
4.9,1.860983281385263e-07,7.727790301516706e-08,7.04434697018641e-07
4.95,1.879972905317936e-07,7.806645300570189e-08,7.116228076808895e-07
5.0,1.8989625312263201e-07,7.88550030529856e-08,7.188109262257214e-07
5.05,1.9179521571345987e-07,7.964355310013512e-08,7.25999040995795e-07
5.1000000000000005,1.9369417810448506e-07,8.043210308927257e-08,7.331871509919097e-07
5.15,1.9559314080503298e-07,8.122065317104086e-08,7.403752678714071e-07
5.2,1.974921031991825e-07,8.200920316158399e-08,7.475633840847706e-07
5.25,1.9939106579009398e-07,8.279775320903192e-08,7.54751499854045e-07
5.3,2.0129002838252002e-07,8.358630325648239e-08,7.619396135138956e-07
5.3500000000000005,2.0318899077616376e-07,8.437485324635733e-08,7.6912772783988e-07
5.4,2.050879534755694e-07,8.51634033277412e-08,7.763158443863105e-07
5.45,2.0698691586639732e-07,8.595195331703555e-08,7.835039615988748e-07
5.5,2.0888587845642872e-07,8.674050336365371e-08,7.906920747036139e-07
5.55,2.1078484104719958e-07,8.75290534112959e-08,7.978801909169775e-07
5.6000000000000005,2.1268380344133074e-07,8.831760340140046e-08,8.05068306020118e-07
5.65,2.1458276613856877e-07,8.910615348210089e-08,8.122564250090392e-07
5.7,2.1648172853252595e-07,8.989470347278427e-08,8.194445404452466e-07
5.75,2.1838069112301663e-07,9.068325351959641e-08,8.266326578798555e-07
