time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.0390625,1.4696240889223517e-07,8.589214120075004e-09,4.548964077422113e-06
0.078125,2.8162855493124095e-07,1.6541447883637846e-08,8.675977868466411e-06
0.1171875,4.05092875751477e-07,2.392239077102928e-08,1.242139864121583e-05
0.15625,5.183385869380028e-07,3.0756435969482946e-08,1.5821250198611025e-05
0.1953125,6.222505436669582e-07,3.708997493357455e-08,1.8907746799357028e-05
0.234375,7.176264317011014e-07,4.297371765373135e-08,2.1709746439557698e-05
0.2734375,8.05186528313654e-07,4.8413829810060655e-08,2.42531440008964e-05
0.3125,8.855822358129011e-07,5.346038525195645e-08,2.6561213063103217e-05
0.3515625,9.5940355879302e-07,5.814934495842846e-08,2.8654903775460205e-05
0.390625,1.0271856700824432e-06,6.247659819951499e-08,3.055310301691705e-05
0.4296875,1.089414688577634e-06,6.654854067949333e-08,3.227286210860658e-05
0.46875,1.1465327738375624e-06,7.035620220767248e-08,3.3829596544632246e-05
0.5078125,1.198942627054368e-06,7.387177941674899e-08,3.523726153054074e-05
0.546875,1.2470114750810383e-06,7.714007350146496e-08,3.650850656156113e-05
0.5859375,1.2910746033581828e-06,8.01878260755179e-08,3.765481179973662e-05
0.625,1.3314384943832358e-06,8.299316653428542e-08,3.8686608612947815e-05
0.6640625,1.368383620510378e-06,8.559094230617183e-08,3.9613386301318165e-05
0.703125,1.4021669333675821e-06,8.802047556307302e-08,4.0443786759936096e-05
0.7421875,1.433024086336368e-06,9.024799146574384e-08,4.118568857514049e-05
0.78125,1.4611714218917667e-06,9.229298132856392e-08,4.184628185810446e-05
0.8203125,1.4868077513541533e-06,9.429744939667953e-08,4.2432134937930854e-05
0.859375,1.5101159510650165e-06,9.613496214648475e-08,4.2949253889479344e-05
0.8984375,1.531264395989039e-06,9.7812342834986e-08,4.3403135743913523e-05
0.9375,1.550408249114101e-06,9.939743644250538e-08,4.379881612115444e-05
0.9765625,1.5676906226614373e-06,1.0084936171758166e-07,4.414091192661562e-05
1.015625,1.5832436252757576e-06,1.0216582330726915e-07,4.4433659674880666e-05
1.0546875,1.5971893075671034e-06,1.0338891028030201e-07,4.468094993526073e-05
1.09375,1.6096405169442262e-06,1.045227875998944e-07,4.4886358329110365e-05
1.1328125,1.6207016713668705e-06,1.0554168562692241e-07,4.505317345782078e-05
1.171875,1.6304694605366168e-06,1.0645853708170358e-07,4.518442209888729e-05
1.2109375,1.6390334820564071e-06,1.0736371399499997e-07,4.528289196037427e-05
1.25,1.6464768192344762e-06,1.082117791410498e-07,4.535115225534625e-05
1.2890625,1.6528765664383493e-06,1.0896560773581247e-07,4.539157232597013e-05
1.328125,1.6583043073155197e-06,1.0966907534256977e-07,4.540633852001541e-05
1.3671875,1.662826550487774e-06,1.1031100269237891e-07,4.539746949949741e-05
1.40625,1.6665051269605015e-06,1.1087195264046538e-07,4.536683014144671e-05
1.4453125,1.6693975529314864e-06,1.113597241959997e-07,4.5316144173246364e-05
1.484375,1.671557361349047e-06,1.1183009106814006e-07,4.5247005668547224e-05
1.5234375,1.6730344051727673e-06,1.1223068718186427e-07,4.516088951633801e-05
1.5625,1.6738751350386659e-06,1.1256466116817671e-07,4.5059160965310596e-05
1.6015625,1.674122853659721e-06,1.1286001956624138e-07,4.4943084328119554e-05
1.640625,1.673817949187103e-06,1.1313997122226467e-07,4.481383093446478e-05
1.6796875,1.6729981093745924e-06,1.134146814591876e-07,4.467248639572485e-05
1.71875,1.6716985183703933e-06,1.1363309084869999e-07,4.452005725297248e-05
1.7578125,1.6699520376024978e-06,1.1383741578987494e-07,4.435747706021953e-05
1.796875,1.6677893722552878e-06,1.1400521393431624e-07,4.4185611960179116e-05
1.8359375,1.6652392245597322e-06,1.141239718448003e-07,4.400526579462216e-05
1.875,1.6623284350536643e-06,1.1419580526539997e-07,4.3817184795513775e-05
1.9140625,1.6590821128552537e-06,1.1427178374553717e-07,4.3622061890569164e-05
1.953125,1.6555237559040092e-06,1.1430753622525092e-07,4.342054066186485e-05
1.9921875,1.651675361995088e-06,1.1430230385218701e-07,4.321321898526076e-05
2.03125,1.6475575314047019e-06,1.1426256920681045e-07,4.300065237838879e-05
2.0703125,1.6431895617936478e-06,1.1422934415388206e-07,4.278335708529646e-05
2.109375,1.6385895360404893e-06,1.1417166277469762e-07,4.2561812918617825e-05
2.1484375,1.6337744035666006e-06,1.1412277349214478e-07,4.23364658779235e-05
2.1875,1.6287600557094149e-06,1.1404762083766646e-07,4.210773056956274e-05
2.2265625,1.623561395574575e-06,1.1397792534086436e-07,4.187599243554718e-05
2.265625,1.6181924028862084e-06,1.138768856377562e-07,4.1641609817233416e-05
2.3046875,1.6126661941446089e-06,1.1374578158250452e-07,4.140491585924444e-05
2.34375,1.6069950785342234e-06,1.1359324894924735e-07,4.1166220272281784e-05
2.3828125,1.601190609855051e-06,1.1344899574213438e-07,4.092581096304393e-05
2.421875,1.595263634841819e-06,1.1327819620254404e-07,4.068395554446269e-05
2.4609375,1.5892243380914776e-06,1.1308192942826052e-07,4.044090273291889e-05
2.5,1.5830822839098247e-06,1.1286521583871202e-07,4.019688364553797e-05
2.5390625,1.5768464552625526e-06,1.1266186889132314e-07,3.995211300078516e-05
2.578125,1.5705252900913168e-06,1.124359868467614e-07,3.9706790233462463e-05
2.6171875,1.564126715167131e-06,1.1221102514475623e-07,3.9461100529658566e-05
2.65625,1.557658177658135e-06,1.1198766955846787e-07,3.9215215788312996e-05
2.6953125,1.5511266746019258e-06,1.1177985243205886e-07,3.8969295512503166e-05
2.734375,1.5445387804172123e-06,1.115537409683039e-07,3.872348764055733e-05
2.7734375,1.5379006725983176e-06,1.1130823330949666e-07,3.847792931632732e-05
2.8125,1.5312181557348247e-06,1.1104409421037722e-07,3.8232747608391016e-05
