Equation,N,Initial Condition,Boundary Function,DX,DT,L2 Error,Avg L2 Error,Median L2 Error,L1 Error,Avg L1 Error,Median L1 Error,Peak Max Error,log(dx),log(L2),log(mean L2),log(median L2),log(L1),log(mean L1),log(median L1)
diffusion,2500,diff_gauss,periodic,1.0,0.25,1.4732704343806871e-05,3.581147360298834e-05,2.621664694812917e-05,1.7124127666101198e-06,3.2132455424741714e-06,2.7088572072387586e-06,0.0026097334545557294,0.0,-11.125440750056862,-10.23724222420053,-10.549115969265856,-13.277607207313245,-12.648229059189942,-12.818983706756743
diffusion,5000,diff_gauss,periodic,0.5,0.0625,3.6806632265506235e-06,1.004540636371906e-05,7.337411832434847e-06,4.285247744273672e-07,8.788303812514573e-07,7.361471429870757e-07,0.0007307180285839321,-0.6931471805599453,-12.51241759741579,-11.508395106188198,-11.82252438890476,-14.662917283946598,-13.944673925741474,-14.121835815662594
diffusion,10000,diff_gauss,periodic,0.25,0.015625,9.200086943406763e-07,2.5540598971488583e-06,1.8898702351743575e-06,1.0713349556631467e-07,2.2283601551418444e-07,1.8685767061946213e-07,0.00018169605727014204,-1.3862943611198906,-13.89888271657768,-12.87782634833885,-13.179002389887742,-16.049190158003157,-15.316829692432094,-15.492918629572488
diffusion,20000,diff_gauss,periodic,0.125,0.00390625,2.299923531771912e-07,6.405066608838687e-07,4.724209353547431e-07,2.678109799963781e-08,5.586504363111903e-08,4.6790724594676616e-08,4.540633852001541e-05,-2.0794415416798357,-15.285219775631601,-14.261006316157266,-14.565395436596827,-17.435569496790592,-16.700326989937498,-16.877580846086964
wave,1000,wave_gauss,reflect,0.1,0.01,9.398930623380563e-05,4.70843536592951e-05,4.746816776639513e-05,3.902336275458872e-05,1.8921791213502394e-05,1.907773383231208e-05,0.0003560115906365291,-2.3025850929940455,-9.272329545635978,-9.963569806200743,-9.955451223862514,-10.151350046201,-10.875196325803651,-10.866988670889473
wave,2000,wave_gauss,reflect,0.05,0.005,2.3499101875799622e-05,1.1768947770307065e-05,1.1867657075225954e-05,9.757509696445572e-06,4.726656542583004e-06,4.770728374016925e-06,8.895697973165806e-05,-2.995732273553991,-10.658548355595569,-11.350046039982661,-11.341693750861662,-11.537473344149314,-12.262292467438382,-12.253011565765993
wave,4000,wave_gauss,reflect,0.025,0.0025,5.87488543852917e-06,2.942125800946401e-06,2.966952619345048e-06,2.439537342408525e-06,1.1812002097272227e-06,1.192744402899338e-06,2.2238228410853544e-05,-3.6888794541139363,-12.044823997948997,-12.736378176350348,-12.727975185996092,-12.923702150405125,-13.648979509522288,-13.639253685162892
wave,8000,wave_gauss,reflect,0.0125,0.00125,1.4687282173932746e-06,7.355279421817261e-07,7.417405503173906e-07,6.098895204110222e-07,2.9523745672193203e-07,2.981903436128972e-07,5.559583587055883e-06,-4.382026634673881,-13.43111368987488,-14.122677306896806,-14.114266317570294,-14.309988010262481,-15.035485866355026,-15.025533817390603
wave,16000,wave_gauss,reflect,0.00625,0.000625,3.671824828400932e-07,1.8388221545929463e-07,1.8543528735464002e-07,1.5247336631907977e-07,7.380179095314816e-08,7.454784586317272e-08,1.389888909852921e-06,-5.075173815233827,-14.817406884021823,-15.50897041768367,-15.500559870994115,-15.696275903239526,-16.421882837976604,-16.411824691348674
wave,2000,wave_gauss,reflect,0.05,0.0025,4.747280567615482e-05,2.4930373309923755e-05,2.4554874058358056e-05,1.9712221050133253e-05,1.0171608272369439e-05,1.0102453171767306e-05,0.00019390564809779187,-2.995732273553991,-9.95535352295225,-10.59942368621586,-10.614600187447406,-10.83427175668795,-11.495910221530389,-11.502732275315854
