time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.5,2.9652507438054686e-06,8.672231304279759e-07,1.834409701217954e-05
1.0,1.0299781541750136e-05,3.0674623329075835e-06,6.255403706645346e-05
1.5,1.830742834632594e-05,5.634136086273274e-06,0.00010673070084576963
2.0,2.3512725763074887e-05,7.634028637617917e-06,0.00012513785143641876
2.5,2.5037280325077442e-05,8.753277027515432e-06,0.00010612903406298502
3.0,2.5586779320493696e-05,9.544390998747027e-06,0.0001095904396766767
3.5,2.89450897252529e-05,1.0656167804815857e-05,0.00012515806179219657
4.0,3.514798083254982e-05,1.3412907479680796e-05,0.00014236432593767168
4.5,4.176353646377172e-05,1.6428884856490772e-05,0.00016003344756621019
5.0,4.746816776639513e-05,1.907773383231208e-05,0.0001777920941861133
5.5,5.2313384196853956e-05,2.13420138716071e-05,0.00019557100965611474
6.0,5.6802602731827965e-05,2.339075698578502e-05,0.00021351831641802654
6.5,6.128604238647628e-05,2.536153018735134e-05,0.00023134098674248982
7.0,6.586360796781128e-05,2.73156169361224e-05,0.0002491483134031136
7.5,7.051324841654826e-05,2.9267144427593857e-05,0.0002669554308267763
8.0,7.519673306297008e-05,3.121839057188313e-05,0.0002847638459823054
8.5,7.989202492585581e-05,3.316962131953503e-05,0.0003025736675842383
9.0,8.459058123998274e-05,3.512085955147358e-05,0.0003203848999206449
9.5,8.928987485456784e-05,3.7072106690821366e-05,0.0003381975415106542
10.0,9.398930623380563e-05,3.902336275458872e-05,0.0003560115906365291
