time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.125,1.2229913898692246e-08,3.561279455151191e-09,7.604396656812895e-08
0.25,4.8491463836072803e-08,1.4134414586603766e-08,3.012161765569843e-07
0.375,1.0751798334300835e-07,3.1391008555191916e-08,6.667583526409615e-07
0.5,1.8725727981627445e-07,5.479795336191813e-08,1.1584703838440902e-06
0.625,2.849573329946759e-07,8.364932910196632e-08,1.7572864535742028e-06
0.75,3.972810703002848e-07,1.1707001451692581e-07,2.440043899709643e-06
0.875,5.204453693211528e-07,1.5408534996588177e-07,3.1804094864362753e-06
1.0,6.50378532786149e-07,1.936225779580129e-07,3.9499209659732415e-06
1.125,7.828898976240284e-07,2.346050314326469e-07,4.719097201122402e-06
1.25,9.138450058056542e-07,2.7594174169731133e-07,5.4585678614937905e-06
1.375,1.0393398854392254e-06,3.165869552588141e-07,6.140173993696152e-06
1.5,1.1558684397876013e-06,3.5562084057098246e-07,6.737993326400016e-06
1.625,1.2604776546000348e-06,3.9221068816199e-07,7.2292490166381285e-06
1.75,1.3509061894624187e-06,4.25729614430525e-07,7.595067191501492e-06
1.875,1.4257027122208425e-06,4.5569484142948447e-07,7.821056769663493e-06
2.0,1.4843207378233487e-06,4.818725140969311e-07,7.897694088598861e-06
2.125,1.5271862405038777e-06,5.042620200183488e-07,7.820504468791789e-06
2.25,1.5557322269122505e-06,5.231174335139973e-07,7.590042269467467e-06
2.375,1.5723900376033436e-06,5.389391670094061e-07,7.211679975971386e-06
2.5,1.5805201251338318e-06,5.525088742257009e-07,6.6952247945173404e-06
2.625,1.584256995604453e-06,5.647619345177865e-07,6.3302961964550875e-06
2.75,1.5882393869446957e-06,5.766462390039918e-07,6.513609287328581e-06
2.875,1.5972082719165582e-06,5.890212217262666e-07,6.7124783262317855e-06
3.0,1.6154934544735636e-06,6.024754073160646e-07,6.926776912552501e-06
3.125,1.6464723383462288e-06,6.173742848300948e-07,7.155364145028376e-06
3.25,1.692140081523796e-06,6.337754421118871e-07,7.39591931897543e-06
3.375,1.752927395469756e-06,6.516035717036009e-07,7.647535879784506e-06
3.5,1.827819265081711e-06,6.727285828797883e-07,7.907033893195248e-06
3.625,1.914711484373872e-06,7.090344962570752e-07,8.172665630079567e-06
3.75,2.010869840741629e-06,7.522372058830641e-07,8.442917363515878e-06
3.875,2.1133626978181365e-06,7.989014779854792e-07,8.716545693732147e-06
4.0,2.219392505053515e-06,8.471436131892176e-07,8.992573380661728e-06
4.125,2.3265084313235876e-06,8.958132602377861e-07,9.270261269789248e-06
4.25,2.432716161036527e-06,9.4408367819382e-07,9.549069153014234e-06
4.375,2.536512060123025e-06,9.91435431611754e-07,9.828614419837844e-06
4.5,2.636867255941226e-06,1.0374405003237984e-06,1.0108633876404483e-05
4.625,2.7331812016329223e-06,1.0818473640066524e-06,1.0388951370510213e-05
4.75,2.8252184126106997e-06,1.1245530208682615e-06,1.0669452040534821e-05
4.875,2.9130376671351003e-06,1.1655242258419626e-06,1.095006283441391e-05
5.0,2.996920040561432e-06,1.2047916533525294e-06,1.1230738392320472e-05
5.125,3.0773002566041224e-06,1.2424703421168697e-06,1.151145119532293e-05
5.25,3.154704554533195e-06,1.2787472383258288e-06,1.179218492297629e-05
5.375,3.229697282064719e-06,1.3137818552273e-06,1.2072930105189172e-05
5.5,3.302837558213936e-06,1.347793825430273e-06,1.2353681363097557e-05
5.625,3.3746465415353456e-06,1.380941869163871e-06,1.2634435706593283e-05
5.75,3.445585090309774e-06,1.4134367191201681e-06,1.2915191506646106e-05
5.875,3.5160409522096497e-06,1.4454063316563546e-06,1.3195947894395488e-05
6.0,3.5863241205349323e-06,1.4770215243976387e-06,1.3476704415038565e-05
6.125,3.656668678947858e-06,1.508371031501162e-06,1.3757552434268128e-05
6.25,3.727239338013224e-06,1.5395293433667067e-06,1.4038650093195493e-05
6.375,3.798140928762108e-06,1.5705587686007289e-06,1.431961471520804e-05
6.5,3.869429322344564e-06,1.6015031921936076e-06,1.460050200963181e-05
6.625,3.941122539076701e-06,1.6323927401042894e-06,1.4881345318351613e-05
6.75,4.013211142520681e-06,1.6632475923627644e-06,1.5162164164306269e-05
6.875,4.085667338758268e-06,1.6940809517830085e-06,1.5442969739098977e-05
7.0,4.158452485737845e-06,1.7249012617252658e-06,1.5723768326425525e-05
7.125,4.231522943404691e-06,1.7557138036579544e-06,1.6004563378024805e-05
7.25,4.304834356927727e-06,1.7865218107369617e-06,1.628535675712861e-05
7.375,4.3783445662530386e-06,1.817327220922429e-06,1.6566149447061473e-05
7.5,4.45201538486359e-06,1.8481311720768883e-06,1.6846941956694117e-05
7.625,4.525813501431509e-06,1.878934318870305e-06,1.7127734546484863e-05
7.75,4.599710742184036e-06,1.9097370305242647e-06,1.7408527342943625e-05
7.875,4.673683900180354e-06,1.9405395112123763e-06,1.7689320411129472e-05
8.0,4.747714299141297e-06,1.971341871668228e-06,1.7970113779464114e-05
8.125,4.821787219981442e-06,2.002144170809192e-06,1.825090746476743e-05
8.25,4.895891282105037e-06,2.0329464393924825e-06,1.8531701471757867e-05
8.375,4.9700178407844704e-06,2.0637486931761657e-06,1.881249580398814e-05
8.5,5.044160437632558e-06,2.094550940083775e-06,1.9093290462457446e-05
8.625,5.118314322783598e-06,2.1253531840283646e-06,1.9374085448331524e-05
8.75,5.192476054716593e-06,2.156155426904716e-06,1.965488076099975e-05
8.875,5.266643175290244e-06,2.1869576696179877e-06,1.993567640090621e-05
9.0,5.3408139527439045e-06,2.2177599125838166e-06,2.0216472369272154e-05
9.125,5.414987183181778e-06,2.2485621560020497e-06,2.0497268663544066e-05
9.25,5.489162040387518e-06,2.27936439995735e-06,2.077806528577586e-05
9.375,5.563337964409911e-06,2.310166644490354e-06,2.1058862235467934e-05
9.5,5.6375145803663635e-06,2.340968889613119e-06,2.1339659512786824e-05
9.625,5.711691640263145e-06,2.371771135337028e-06,2.162045711689986e-05
9.75,5.785868981952163e-06,2.40257338166211e-06,2.1901255048306645e-05
9.875,5.860046500624991e-06,2.4333756285919744e-06,2.21820533076178e-05
10.0,5.934224129296059e-06,2.4641778761264725e-06,2.2462851894389235e-05
